id,project_code,type,status,description
REQ-AXO-195,AXO,Requirement,rejected,"[ARCHIVED 2026-05-08 — obsolete under MIL-AXO-015 / REQ-AXO-200 PG migration. Per-batch Parquet small-files explosion is moot once the Parquet store is decommissioned (REQ-AXO-200 deliverable). pgvector HNSW handles arbitrary insert volume natively without partition fan-out. Original brief preserved below.]

## Original scope

DEC-AXO-073 L.1 + DEC-AXO-074 M.1.1 adopted per-batch Parquet file design (each `append_batch` writes a self-contained file). Unblocked mid-stream readability but created N-files-grow-with-time scaling. Required a background compaction job. Under PG/pgvector, no compaction concept needed — the HNSW index is mutated in-place.

## Tags

performance, parquet, compaction, dec-axo-073-followup, archived-by-pg-migration"
PIL-AXO-003,AXO,Pillar,current,"SOLL = canonical intentional truth layer of every Axon-equipped project, NOT just Axon itself. Survives sessions, humans, releases. IST captures what code IS; SOLL captures what code SHOULD BE: visions, requirements, decisions, concepts, milestones, validations, stakeholders, guidelines.

## Surface
- Read: soll_query_context, soll_work_plan (returns topological order of unblockers, scored by descendant impact — authoritative for 'what to work on next', ahead of personal judgment).
- Write: soll_manager / infer_soll_mutation / entrench_nuance / soll_apply_plan only. Cypher INSERT/UPDATE/DELETE forbidden (read-only by spec). soll_manager(create entity=guideline) supported as of REQ-AXO-092.

## Nine canonical entity types
| Type | Role |
|---|---|
| Vision | North Star; human+business value; ~1-2x/year change |
| Pillar | Strategic axis epitomizing Vision (this = PIL-AXO-003) |
| Requirement | Actionable work: bugs, simplifications, robustness gaps, customer-deliverability findings |
| Concept | Shared mental model grouping related entities |
| Decision | Chosen approach + rationale (immutable history) |
| Milestone | Time-anchored delivery target |
| Validation | Proof-of-intent (evidence) |
| Stakeholder | Human or org with stake in outcome |
| Guideline | Working method, applied at delivery time by axon_pre_flight_check |

## Operational protocol (any LLM session, any project with Axon MCP access; standing rule set 2026-05-01 by Didier; enforced via /home/dstadel/.claude/CLAUDE.md)
1. Observe friction, bugs, simplifications, obsolete elements, LLM-contract violations.
2. Log to SOLL via soll_manager. Even partial-analysis findings are valuable.
3. Trace dependencies by linking to a Concept or Pillar.
4. Re-evaluate by calling soll_work_plan after each batch.
5. Execute relentlessly through wave-1 unblockers. Interrupt user only for: destructive irreversible / arch decision needing human authority / hard blocker / external-impact milestone (NOT internal velocity).

## Rationale (terse)
Without this Pillar enforced, Axon = passive structural code index, missing half the promise. Customer value = any team adopting Axon inherits a queryable, self-correcting institutional memory that scales with the team and outlives any one contributor."
PIL-AXO-001,AXO,Pillar,current,"ONE telemetry-backed snapshot of runtime + IST + project scope, observable identically by every consumer (humans/dashboards, LLMs/MCP, automation/CLI).

## Operational rules
- status() = canonical readiness call, NOT polite probe. HEALTHY MUST be backed by liveness evidence: pid alive, role-port bound BY THAT pid, telemetry socket recently emitted, guard owner = running pid (REQ-AXO-097 = inverse failure: HEALTHY despite dead role processes).
- mcp_surface_diagnostics offers deeper truth when status looks suspicious. MUST agree with status when system is healthy.
- **Data ownership convention (post MIL-AXO-015 PG)**: brain and indexer share the same PG instance; under PG MVCC both read AND write concurrently. They are conventionally separated by which tables they own as authoritative writer:
  - Indexer owns the IST: `public.file` (or its successor `IndexedFile` post REQ-AXO-289), `public.symbol`, `public.chunk`, `public.chunkembedding`, AGE edges. Writes the graph + vectors as source of truth.
  - Brain owns intent + audit: `soll.Node`, `soll.Edge`, audit tables (`McpJob`, `axon_runtime.OptimizerDecisionLog`). Reads IST/vectors for retrieval, writes SOLL for mutations.
  - PG enforces no lock between them — the separation is by-convention, not by-mechanism. Any code, comment, or doc framing brain as ""read-only"" or asserting a single-writer constraint is DuckDB-era residue (cf. CPT-AXO-053) and must be corrected on sight.
- project_code: auto-resolved from cwd or AXON_PROJECT_ROOT, deterministic across surfaces (REQ-AXO-089 = retrieve_context not honoring resolution).

## Acceptance
- status() and project_status() never disagree on HEALTHY/DEGRADED/DOWN within same window.
- Dead role process → status transitions to DEGRADED within one polling interval. Never stuck HEALTHY.
- `axon-live status` (CLI) and `mcp__axon__status` (MCP) emit identical evidence fields.
- Broken state → status surface tells you exactly what+where, never ""maybe it works"".

## Rationale (terse)
Value of Axon = single trusted source of structural+operational truth. Multi-truth Axon < no Axon (it pretends).

## Recent corrections (2026-05-12)
- DuckDB-era ""brain = IST READER"" framing removed (operator critique session 17): inaccurate under PG MVCC where both products are independent multi-writers. Replaced with the data-ownership-by-convention model above. The strict reader/writer split was a DuckDB single-writer mutex artefact — see CPT-AXO-030 (superseded) for archaeology."
REQ-AXO-007,AXO,Requirement,delivered,"Live promotion is manifest-driven and post-checked. CONFIRMED COMPLETED 2026-05-02 hygiene pass Phase 2: scripts/release/promote_live_safe.sh delivers (1) qualified immutable artifact build, (2) manifest pinning at .axon/releases/candidates/<version>.json, (3) atomic live binary swap, (4) post-promotion qualify-mcp verifying runtime identity matches manifest. Verified empirically this 2026-05-02 by two successful promotions (b67f5fe, 44eaec4) both with verdict=ok and final live status HEALTHY."
REQ-AXO-009,AXO,Requirement,delivered,"Live MCP quality gate stays green. CONFIRMED COMPLETED 2026-05-02 hygiene pass Phase 2: qualify-mcp surface=core checks=quality,latency mode=steady-state mutations=off returns verdict=ok at every promotion (artifacts in .axon/mcp-qualification-runs/). Both quality and latency are validated. Verified by today's two promotions both passing the gate."
VAL-AXO-002,AXO,Validation,rejected,"[ARCHIVED 2026-05-08 — seed stub from initial SOLL bootstrap (March 2026). No title, description, author, tags, or evidence — only status=passed without body. Per GUI-PRO-004 (vérité physique, zéro mock) and APoSD ch.4, an unsupported ""passed"" claim is worse than no claim. VERIFIES edge to REQ-AXO-009 ""Live MCP quality gate stays green"" preserved for historical traceability; recreate a proper Validation with evidence via soll_attach_evidence if formal proof needed.]"
VAL-AXO-003,AXO,Validation,rejected,"[ARCHIVED 2026-05-08 — seed stub from initial SOLL bootstrap (March 2026). No title, description, author, tags, or evidence — only status=passed without body. Per GUI-PRO-004 (vérité physique, zéro mock) and APoSD ch.4, an unsupported ""passed"" claim is worse than no claim. VERIFIES edge to REQ-AXO-002 ""Live and dev expose the same MCP product surface"" preserved for historical traceability; recreate a proper Validation with evidence via soll_attach_evidence if formal proof needed.]"
GUI-AXO-002,AXO,Guideline,rejected,"[ARCHIVED 2026-05-08 — exact duplicate of GUI-AXO-001 (same title, same description, same INHERITS_FROM GUI-PRO-001 edge). Triple-create artifact from repeated axon_apply_guidelines calls. GUI-AXO-001 is the canonical project-level instance of TDD Obligatoire (GUI-PRO-001).]

---

Les tests doivent être écrits avant ou avec le code source."
GUI-AXO-003,AXO,Guideline,rejected,"[ARCHIVED 2026-05-08 — exact duplicate of GUI-AXO-001 (same title, same description, same INHERITS_FROM GUI-PRO-001 edge). Triple-create artifact from repeated axon_apply_guidelines calls. GUI-AXO-001 is the canonical project-level instance of TDD Obligatoire (GUI-PRO-001).]

---

Les tests doivent être écrits avant ou avec le code source."
REQ-AXO-288,AXO,Requirement,current,"## STATUS — SUPERSEDED 2026-05-12 (session 17) by REQ-AXO-289 streaming pipeline v2

The orphan reaper described here patches the symptom (files stuck in `status='indexing'` after indexer restarts). REQ-AXO-289 eliminates the symptom STRUCTURALLY: there is no `public.file` status machine in v2, therefore no claim state to orphan, therefore no orphans to reap. The reaper becomes dead code.

**The local commit `4837bd7` that implemented this REQ will be reverted** in session 17 closure — we don't ship dette-perpétuante code even when it works. Cleaner to start from a baseline that matches v2's design intent.

**Canonical successor**: REQ-AXO-289 (no orphans by design — idempotent UPSERT + no claim state in DB).

## Historical content (session 17 investigation + reaper implementation, reverted)

## Symptom

Live `axon_live.public.file` snapshot 2026-05-12 session 17:

| status   | count  |
|---|---|
| indexing | 12,189 |
| indexed  |  1,889 |
| skipped  |     72 |
| **total** | **14,150** |

86% of files stuck in `indexing`. Claimed by `claim_pending_paths` then orphaned by indexer crashes; no startup reaper.

## What was implemented (commit `4837bd7`, to be reverted)

- `GraphStore::reset_orphaned_indexing_rows(stale_after_ms)` in `graph_ingestion.rs`.
- Wiring in `runtime_boot.rs` at indexer startup, inside `if runtime_mode.ingestion_enabled()`.
- Unit test with 3 fixtures (stale / NULL / fresh) + idempotency + fresh-DB safety.
- All 1165 lib tests pass.

## Why reverted

Operator session 17 critique (verbatim): the patch perpetuates the DuckDB-era state machine. The right answer is to remove the state machine. Patches on top of dette = more code to maintain, more places where the model can mislead future LLMs.

## Cross-references

- REQ-AXO-289 (canonical successor) — v2 eliminates orphans by design.
- REQ-AXO-285 (also superseded) — pipeline A symptoms, same root cause.
- Commit `4837bd7` (local, never pushed) — the implementation, to be reverted.

## Tags

`functionality_key:throughput-north-star`, `pipeline-a`, `data-hygiene`, **`superseded-by-req-axo-289`**, **`commit-4837bd7-reverted`**, **`patch-of-dette-not-shipped`**

## Originator

Claude session 17 — 2026-05-12 investigation of REQ-AXO-285 symptom 2 surfaced the orphan accumulation pattern. Implementation revealed it as patch-of-dette; structural answer = REQ-AXO-289."
